time_s,current_clean_A,voltage_clean_V,temp_surface_clean_C,temp_ambient_clean_C,soc_clean,current_meas_A,voltage_meas_V,temp_surface_meas_C,temp_ambient_meas_C,power_meas_W
0.0,0.0,3.800000000000002,25.0,25.0,0.8,0.01,3.8000000000000003,25.12,25.21,0.038000000000000006
1.0,0.0,3.800000000000002,25.0,25.0,0.8,0.004,3.799,25.150000000000002,25.240000000000002,0.015196
2.0,0.0,3.7999999879122575,25.00000000012801,25.0,0.8000000025154094,0.011,3.802,25.330000000000002,25.29,0.041822
3.0,0.0,3.79999991522248,25.000000000409894,25.0,0.8000000231910274,0.02,3.799,25.28,25.28,0.07598
4.0,0.0,3.799999761230035,25.00000000062585,25.0,0.800000071327803,0.003,3.798,25.22,25.17,0.011394
5.0,0.0,3.7999995486395,25.00000000064017,25.0,0.8000001410090981,0.003,3.799,25.07,25.25,0.011397000000000001
6.0,0.0,3.79999934352088,25.000000000403983,25.0,0.8000002110833736,0.021,3.801,25.22,25.25,0.079821
7.0,0.0,3.7999992553096136,24.99999999995549,25.0,0.8000002451641904,0.013000000000000001,3.7960000000000003,25.310000000000002,25.22,0.04934800000000001
8.0,0.0,3.799999436806569,24.99999999941957,25.0,0.8000001916302093,0.0,3.8000000000000003,25.16,25.18,0.0
9.0,0.0,3.800000084178048,24.99999999900797,25.0,0.7999999836251901,0.01,3.801,25.34,25.22,0.03801
10.0,0.0,3.800001436955779,24.999999999019398,25.0,0.7999995390579929,0.0,3.798,25.330000000000002,25.400000000000002,0.0
11.0,0.0,3.800003778036925,24.999999999839304,25.0,0.7999987606025771,0.0,3.801,25.37,25.17,0.0
12.0,-0.1002968860766711,3.8001337319602015,24.99999937430357,25.0,0.7999932049952213,-0.093,3.8000000000000003,25.23,25.32,-0.35340000000000005
13.0,-0.2827099172222717,3.800400739831663,24.99999764573749,25.0,0.799972895966156,-0.297,3.8040000000000003,25.26,25.14,-1.129788
14.0,-0.5323539616600177,3.800801737624819,24.999995648362077,25.0,0.7999330305981796,-0.545,3.798,25.34,25.11,-2.06991
15.0,-0.8370421042406377,3.801332575264441,24.999994296691,25.0,0.799870168890569,-0.838,3.802,25.240000000000002,25.53,-3.186076
16.0,-1.1867965427462714,3.801987635808204,24.9999945741543,25.0,0.7997821788192374,-1.192,3.799,25.150000000000002,25.25,-4.528408
17.0,-1.4731512575763557,3.802646349555431,24.99999753309845,25.0,0.799668236336734,-1.465,3.798,25.16,25.26,-5.56407
18.0,-1.7075986688966212,3.803319383429696,25.00000429478638,25.0,0.7995288253722445,-1.712,3.798,25.22,25.26,-6.5021759999999995
19.0,-1.8995479745240456,3.8040111000256185,25.000016049397345,25.0,0.7993657378315907,-1.909,3.8040000000000003,25.07,25.34,-7.261836000000001
20.0,-2.0567027740731825,3.804719983191282,25.000034056027005,25.0,0.7991820735972309,-2.037,3.8040000000000003,25.19,25.240000000000002,-7.748748
